Mario;Rossi;mario.rossi@gmail.com;mariorossi;gio mar 18 1976;M;44;
Giuseppe;Verdi;gverdi@gmail.com;quattrostagioni;mar gen 1 1935;M;86;
Matilde;Goretti;mgoretti@gmail.com;prova;dom mar 25 1990;F;30;
Marika;Rossi;marikarossi@gmail.com;red;mer lug 23 1986;F;34;
Pinco;Pallino;pincopallino@email.com;test;lun dic 12 1977;M;43;
Francesca;Bianchi;fbianchi@libero.it;prova;sab apr 4 1970;F;50;
Alessandro;Neri;nerialessandro@yahoo.it;neri;dom apr 26 1964;M;56;
Mattia;Violetto;mattia_violetto1444@gmail.com;mattia_violetto;sab gen 1 2000;M;21;
Fabio;Bianchi;fabiobianchi@email.it;passbianchi;lun ago 11 1969;M;51;
Piero;Rosa;rosap@tiscali.it;password123456;mer apr 30 1958;M;62;
